datetime,input,mode
2020-02-07 21:22:43.411133,up,sequence
2020-02-07 21:22:43.825271,up,sequence
2020-02-07 21:22:44.235036,up,sequence
2020-02-07 21:22:44.648458,up,sequence
2020-02-07 21:22:45.060685,up,sequence
2020-02-07 21:24:28.547609,yes,sequence
2020-02-07 21:25:02.590372,yes,special
2020-02-07 21:25:21.606925,yes,sequence
2020-02-07 21:27:46.906810,down,sequence
2020-02-07 21:27:47.309118,yes,sequence
2020-02-07 21:28:13.614508,down,sequence
2020-02-07 21:28:14.015930,down,sequence
2020-02-07 21:28:14.417900,down,sequence
2020-02-07 21:28:14.819284,yes,sequence
2020-02-07 21:28:23.884346,back,special
2020-02-07 21:28:37.541320,down,sequence
2020-02-07 21:28:37.943018,yes,sequence
2020-02-07 21:28:38.344852,yes,sequence
2020-02-07 21:29:56.460238,yes,sequence
2020-02-07 21:29:56.862397,right,sequence
2020-02-07 21:29:57.264853,yes,sequence
2020-02-07 21:30:19.839362,yes,sequence
2020-02-07 21:30:20.241302,yes,sequence
2020-02-07 21:30:48.304575,right,sequence
2020-02-07 21:30:48.706701,yes,sequence
2020-02-07 21:31:02.187319,right,special
2020-02-07 21:31:09.932383,yes,special
2020-02-07 21:31:16.524228,yes,special
2020-02-07 22:08:45.819384,back,special
2020-02-07 22:08:59.636569,down,sequence
2020-02-07 22:09:00.048898,yes,sequence
2020-02-07 22:09:12.812690,down,sequence
2020-02-07 22:09:13.219582,yes,sequence
2020-02-07 22:17:18.292342,yes,special
2020-02-07 22:17:32.573900,yes,special
2020-02-07 22:17:44.231699,write,sequence
2020-02-07 22:17:44.638839,down,sequence
2020-02-07 22:17:45.049669,yes,sequence
2020-02-07 22:18:14.771496,yes,special
2020-02-07 22:22:58.597474,okay,special
2020-02-07 22:23:09.164639,okay,special
2020-02-07 22:23:15.674325,okay,special
2020-02-07 22:23:25.001488,okay,special
2020-02-07 22:23:31.547737,okay,special
2020-02-07 22:23:56.832070,down,sequence
2020-02-07 22:23:57.242302,left,sequence
2020-02-07 22:23:57.648977,left,sequence
2020-02-07 22:23:58.059423,left,sequence
2020-02-07 22:23:58.466970,left,sequence
